,代 码,转债名称,现 价,涨跌幅,正股名称,正股价,正股涨跌,PB,转股价,转股价值,溢价率,纯债价值,评级,期权价值,回售触发价,强赎触发价,转债占比,机构持仓,到期时间,剩余年限,到期税前收益,到期税后收益,回售收益,成交额(万元),操作
19,113533,参林转债 !,140.270,-0.72%,大参林 R,50.38,-0.83%,7.46,36.500,138.03,1.62%,购买,AA,购买,25.55,47.45,1.1%,会员,25-04-02,5.310,-4.03%,-4.45%,购买,126.06,
20,123027,蓝晓转债,118.200,2.52%,蓝晓科技,34.40,2.87%,5.80,29.580,116.29,1.64%,购买,A+,购买,20.71,38.45,4.8%,会员,25-06-10,5.499,0.28%,-0.35%,购买,553.27,
21,128038,利欧转债,130.233,0.18%,利欧股份 R,2.20,0.92%,1.81,1.720*,127.91,1.82%,购买,AA,购买,1.20,2.24,1.0%,会员,24-03-22,4.279,-3.16%,-3.71%,购买,80.09,
22,113526,联泰转债,127.150,-0.01%,联泰环保,10.77,-0.28%,2.49,8.720,123.51,2.95%,购买,AA,购买,6.10,11.34,6.4%,会员,25-01-22,5.118,-2.65%,-3.03%,购买,47.67,
23,128079,英联转债,108.121,0.49%,英联股份,14.19,1.94%,4.34,13.540,104.80,3.17%,购买,A+,购买,9.48,17.60,7.8%,会员,25-10-21,5.863,1.52%,0.97%,购买,420.16,
24,123021,万信转2,128.350,0.35%,万达信息 R,16.91,-0.76%,4.93,13.600,124.34,3.23%,购买,AA,购买,9.52,17.68,3.4%,会员,25-03-03,5.227,-1.58%,-2.17%,购买,1295.60,
25,128043,东音转债,221.161,9.08%,东音股份,13.87,9.99%,5.00,6.550*,211.76,4.44%,购买,AA-,购买,4.58,8.52,3.1%,会员,24-08-02,4.644,-13.32%,-13.79%,购买,4046.93,
26,128025,特一转债,110.499,0.16%,特一药业,16.30,0.18%,2.94,15.450*,105.50,4.74%,购买,AA-,购买,10.81,20.09,10.4%,会员,23-12-06,3.986,-0.16%,-0.62%,购买,231.77,
27,123019,中来转债,113.850,0.20%,中来股份,14.39,0.28%,1.83,13.290,108.28,5.14%,购买,AA-,购买,9.30,17.28,19.3%,会员,25-02-25,5.211,1.84%,1.02%,购买,849.39,
28,110044,广电转债 !,130.760,-0.44%,广电网络 R,8.57,-0.81%,1.58,6.900,124.20,5.28%,购买,AA,购买,4.83,8.97,1.4%,会员,24-06-27,4.545,-3.24%,-3.73%,购买,175.40,
29,128078,太极转债,130.200,0.32%,太极股份 R,39.02,2.66%,5.67,31.610,123.44,5.48%,购买,AA,购买,22.13,41.09,6.2%,会员,25-10-21,5.863,-1.79%,-2.30%,购买,797.08,
30,110050,佳都转债,124.500,0.17%,佳都科技 R,9.28,1.42%,3.25,7.890,117.62,5.85%,购买,AA,购买,5.52,10.26,4.3%,会员,24-12-18,5.022,-1.72%,-2.22%,购买,244.37,
31,113518,顾家转债,126.750,0.60%,顾家家居 R,43.74,1.13%,4.85,36.570,119.61,5.97%,购买,AA,购买,29.26,47.54,4.2%,会员,24-09-11,4.753,-2.08%,-2.62%,购买,243.64,
32,128066,亚泰转债,106.000,0.00%,亚泰国际,14.80,-0.20%,1.68,14.800*,100.00,6.00%,购买,AA-,购买,10.36,19.24,18.0%,会员,25-04-17,5.351,2.07%,1.46%,购买,503.92,
33,123034,通光转债,101.980,-0.19%,通光线缆,7.67,0.26%,2.53,7.980,96.12,6.10%,购买,A+,购买,5.59,10.37,11.5%,会员,25-11-03,5.899,2.63%,2.06%,购买,533.19,
34,123033,金力转债,110.789,0.19%,金力永磁,42.92,0.21%,15.17,41.200,104.17,6.35%,购买,AA-,购买,28.84,53.56,2.5%,会员,25-10-31,5.890,1.68%,1.03%,购买,441.80,
35,123012,万顺转债,118.756,0.22%,万顺新材,5.98,0.00%,1.21,5.360,111.57,6.44%,购买,AA-,购买,3.75,6.97,3.3%,会员,24-07-20,4.608,-1.50%,-1.93%,购买,36.97,
36,128076,金轮转债,105.419,0.02%,金轮股份,14.80,-0.54%,1.38,14.960,98.93,6.56%,购买,AA-,购买,10.47,19.45,8.2%,会员,25-10-14,5.844,1.57%,1.09%,购买,242.38,
37,113511,千禾转债,121.040,-0.73%,千禾味业,20.78,-0.72%,6.38,18.310,113.49,6.65%,购买,AA-,购买,12.82,23.80,1.9%,会员,24-06-19,4.523,-1.58%,-2.08%,购买,27.60,
38,128030,天康转债,154.090,-0.97%,天康生物 R,11.63,-1.61%,3.25,8.050,144.47,6.66%,购买,AA,购买,5.63,10.46,1.5%,会员,23-12-22,4.030,-7.59%,-8.10%,购买,1269.23,
39,113550,常汽转债,110.410,10.41%,常熟汽饰,10.24,0.49%,1.10,9.930,103.12,7.07%,购买,AA-,购买,6.95,12.91,34.6%,会员,25-11-17,5.937,1.71%,1.06%,购买,77713.40,
40,123016,洲明转债,124.242,0.92%,洲明科技 R,9.06,2.26%,2.97,7.820,115.86,7.23%,购买,AA-,购买,5.47,10.17,5.6%,会员,24-11-07,4.910,-1.54%,-2.08%,购买,2.25,
41,128019,久立转2,124.109,0.49%,久立特材 R,9.15,1.10%,2.33,7.920,115.53,7.43%,购买,AA,购买,5.54,10.30,13.5%,会员,23-11-08,3.910,-3.13%,-3.58%,购买,35.73,
42,113521,科森转债,111.910,1.71%,科森科技,9.06,1.34%,2.21,8.700,104.14,7.46%,购买,AA,购买,6.09,11.31,16.3%,会员,24-11-16,4.934,0.60%,0.05%,购买,852.73,
43,110046,圆通转债,121.030,-0.19%,圆通速递 R,12.07,0.33%,2.72,10.730,112.49,7.59%,购买,AA+,购买,7.51,13.95,10.3%,会员,24-11-19,4.942,-1.03%,-1.57%,购买,805.20,
44,132018,G三峡EB1,108.800,0.90%,长江电力 R,18.29,1.55%,2.77,18.120,100.94,8.12%,购买,AAA,购买,12.68,21.74,5.0%,会员,24-04-09,4.329,0.29%,-0.16%,购买,6906.41,
45,128077,华夏转债,111.800,-0.19%,华夏航空,10.87,-0.55%,2.68,10.520,103.33,8.20%,购买,AA-,购买,7.36,13.68,12.1%,会员,25-10-16,5.849,1.36%,0.74%,购买,241.99,
46,128039,三力转债,108.520,0.90%,三力士,5.84,1.57%,1.86,5.830*,100.17,8.34%,购买,AA-,购买,4.08,7.58,6.2%,会员,24-06-07,4.490,0.37%,-0.06%,购买,278.58,
47,128061,启明转债,128.369,0.41%,启明星辰 R,33.33,2.62%,7.93,28.290,117.82,8.95%,购买,AA,购买,19.80,36.78,3.5%,会员,25-03-27,5.293,-1.56%,-2.15%,购买,126.36,
48,113536,三星转债,105.440,-0.38%,三星新材,19.09,-0.62%,2.80,19.750,96.66,9.08%,购买,AA,购买,13.82,25.68,11.2%,会员,25-05-30,5.468,1.66%,1.16%,购买,92.29,
